day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss
1,0,MAGNIFICENT_MACARONS,624.0,20.0,622.0,12.0,617.0,23.0,631,10,639.0,23.0,644.0,12.0,627.5,0.0
1,100,MAGNIFICENT_MACARONS,627.0,14.0,625.0,12.0,620.0,21.0,634,7,642.0,21.0,647.0,12.0,630.5,0.0
1,200,MAGNIFICENT_MACARONS,627.0,10.0,625.0,15.0,620.0,21.0,634,5,642.0,21.0,647.0,15.0,630.5,0.0
1,300,MAGNIFICENT_MACARONS,629.0,14.0,627.0,14.0,622.0,26.0,636,7,644.0,26.0,649.0,14.0,632.5,0.0
1,400,MAGNIFICENT_MACARONS,628.0,18.0,625.0,16.0,620.0,26.0,635,9,643.0,26.0,648.0,16.0,631.5,0.0
1,500,MAGNIFICENT_MACARONS,631.0,10.0,629.0,16.0,624.0,23.0,638,5,646.0,23.0,651.0,16.0,634.5,0.0
1,600,MAGNIFICENT_MACARONS,631.0,12.0,628.0,17.0,623.0,28.0,638,6,646.0,28.0,651.0,17.0,634.5,0.0
1,700,MAGNIFICENT_MACARONS,630.0,20.0,627.0,11.0,622.0,22.0,637,10,645.0,22.0,650.0,11.0,633.5,0.0
1,800,MAGNIFICENT_MACARONS,631.0,10.0,629.0,19.0,624.0,24.0,638,5,646.0,24.0,651.0,19.0,634.5,0.0
1,900,MAGNIFICENT_MACARONS,630.0,20.0,627.0,12.0,622.0,20.0,637,10,645.0,20.0,650.0,12.0,633.5,0.0
1,1000,MAGNIFICENT_MACARONS,630.0,16.0,628.0,19.0,623.0,30.0,637,8,645.0,30.0,650.0,19.0,633.5,0.0
1,1100,MAGNIFICENT_MACARONS,632.0,16.0,629.0,14.0,624.0,21.0,639,8,647.0,21.0,652.0,14.0,635.5,0.0
1,1200,MAGNIFICENT_MACARONS,632.0,10.0,629.0,17.0,624.0,22.0,639,5,647.0,22.0,652.0,17.0,635.5,0.0
1,1300,MAGNIFICENT_MACARONS,629.0,10.0,627.0,12.0,622.0,25.0,637,5,645.0,25.0,651.0,12.0,633.0,0.0
1,1400,MAGNIFICENT_MACARONS,630.0,16.0,628.0,15.0,623.0,23.0,638,8,646.0,23.0,652.0,15.0,634.0,0.0
1,1500,MAGNIFICENT_MACARONS,631.0,14.0,629.0,18.0,624.0,20.0,639,7,647.0,20.0,653.0,18.0,635.0,0.0
1,1600,MAGNIFICENT_MACARONS,633.0,12.0,631.0,15.0,626.0,28.0,641,6,649.0,28.0,655.0,15.0,637.0,0.0
1,1700,MAGNIFICENT_MACARONS,638.0,20.0,636.0,11.0,631.0,28.0,646,10,654.0,28.0,660.0,11.0,642.0,0.0
1,1800,MAGNIFICENT_MACARONS,640.0,12.0,638.0,10.0,632.0,23.0,648,6,656.0,23.0,661.0,10.0,644.0,0.0
1,1900,MAGNIFICENT_MACARONS,639.0,12.0,637.0,18.0,632.0,30.0,647,6,655.0,30.0,661.0,18.0,643.0,0.0
1,2000,MAGNIFICENT_MACARONS,644.0,8.0,641.0,18.0,639.0,20.0,649,9,657.0,21.0,662.0,20.0,646.5,0.0
1,2100,MAGNIFICENT_MACARONS,640.0,16.0,638.0,17.0,633.0,26.0,648,8,656.0,26.0,662.0,17.0,644.0,0.0
1,2200,MAGNIFICENT_MACARONS,641.0,16.0,639.0,14.0,633.0,20.0,649,8,657.0,20.0,662.0,14.0,645.0,0.0
1,2300,MAGNIFICENT_MACARONS,640.0,12.0,638.0,20.0,633.0,22.0,648,6,656.0,22.0,662.0,20.0,644.0,0.0
1,2400,MAGNIFICENT_MACARONS,643.0,14.0,641.0,10.0,635.0,20.0,651,7,659.0,20.0,664.0,10.0,647.0,0.0
1,2500,MAGNIFICENT_MACARONS,647.0,16.0,645.0,16.0,640.0,21.0,655,8,663.0,21.0,669.0,16.0,651.0,0.0
1,2600,MAGNIFICENT_MACARONS,649.0,16.0,647.0,16.0,642.0,29.0,657,8,665.0,29.0,671.0,16.0,653.0,0.0
1,2700,MAGNIFICENT_MACARONS,649.0,12.0,647.0,14.0,642.0,21.0,657,6,665.0,21.0,671.0,14.0,653.0,0.0
1,2800,MAGNIFICENT_MACARONS,653.0,16.0,651.0,17.0,645.0,27.0,661,8,669.0,27.0,674.0,17.0,657.0,0.0
1,2900,MAGNIFICENT_MACARONS,657.0,18.0,655.0,14.0,649.0,20.0,665,9,673.0,20.0,678.0,14.0,661.0,0.0
1,3000,MAGNIFICENT_MACARONS,652.0,16.0,650.0,13.0,644.0,29.0,660,8,668.0,29.0,673.0,13.0,656.0,0.0
1,3100,MAGNIFICENT_MACARONS,652.0,16.0,650.0,20.0,644.0,27.0,660,8,668.0,27.0,673.0,20.0,656.0,0.0
1,3200,MAGNIFICENT_MACARONS,653.0,12.0,651.0,19.0,646.0,24.0,661,6,669.0,24.0,675.0,19.0,657.0,0.0
1,3300,MAGNIFICENT_MACARONS,656.0,20.0,654.0,10.0,648.0,24.0,664,10,672.0,24.0,677.0,10.0,660.0,0.0
1,3400,MAGNIFICENT_MACARONS,660.0,14.0,658.0,10.0,652.0,27.0,668,7,676.0,27.0,681.0,10.0,664.0,0.0
1,3500,MAGNIFICENT_MACARONS,662.0,12.0,660.0,18.0,654.0,26.0,670,6,678.0,26.0,683.0,18.0,666.0,0.0
1,3600,MAGNIFICENT_MACARONS,661.0,14.0,659.0,11.0,654.0,27.0,669,7,677.0,27.0,683.0,11.0,665.0,0.0
1,3700,MAGNIFICENT_MACARONS,664.0,12.0,662.0,17.0,656.0,25.0,672,6,680.0,25.0,685.0,17.0,668.0,0.0
1,3800,MAGNIFICENT_MACARONS,662.0,14.0,660.0,17.0,654.0,24.0,670,7,678.0,24.0,683.0,17.0,666.0,0.0
1,3900,MAGNIFICENT_MACARONS,663.0,20.0,661.0,10.0,655.0,24.0,671,10,679.0,24.0,684.0,10.0,667.0,0.0
1,4000,MAGNIFICENT_MACARONS,668.0,14.0,666.0,16.0,661.0,30.0,676,7,684.0,30.0,690.0,16.0,672.0,0.0
1,4100,MAGNIFICENT_MACARONS,670.0,16.0,668.0,20.0,663.0,22.0,678,8,686.0,22.0,692.0,20.0,674.0,0.0
1,4200,MAGNIFICENT_MACARONS,670.0,18.0,668.0,13.0,662.0,28.0,678,9,686.0,28.0,691.0,13.0,674.0,0.0
1,4300,MAGNIFICENT_MACARONS,667.0,16.0,665.0,18.0,659.0,26.0,675,8,683.0,26.0,688.0,18.0,671.0,0.0
1,4400,MAGNIFICENT_MACARONS,670.0,20.0,668.0,20.0,662.0,28.0,678,10,686.0,28.0,691.0,20.0,674.0,0.0
1,4500,MAGNIFICENT_MACARONS,668.0,12.0,666.0,20.0,660.0,26.0,676,6,684.0,26.0,689.0,20.0,672.0,0.0
1,4600,MAGNIFICENT_MACARONS,668.0,18.0,666.0,12.0,660.0,21.0,676,9,684.0,21.0,689.0,12.0,672.0,0.0
1,4700,MAGNIFICENT_MACARONS,669.0,12.0,667.0,18.0,662.0,26.0,677,6,685.0,26.0,691.0,18.0,673.0,0.0
1,4800,MAGNIFICENT_MACARONS,669.0,14.0,667.0,13.0,662.0,22.0,677,7,685.0,22.0,691.0,13.0,673.0,0.0
1,4900,MAGNIFICENT_MACARONS,670.0,14.0,667.0,10.0,662.0,22.0,677,7,686.0,22.0,691.0,10.0,673.5,0.0
1,5000,MAGNIFICENT_MACARONS,666.0,12.0,664.0,17.0,658.0,30.0,674,6,682.0,30.0,687.0,17.0,670.0,0.0
1,5100,MAGNIFICENT_MACARONS,665.0,20.0,663.0,17.0,658.0,26.0,673,10,681.0,26.0,687.0,17.0,669.0,0.0
1,5200,MAGNIFICENT_MACARONS,665.0,16.0,663.0,16.0,658.0,23.0,673,8,681.0,23.0,687.0,16.0,669.0,0.0
1,5300,MAGNIFICENT_MACARONS,667.0,20.0,665.0,12.0,660.0,22.0,675,10,683.0,22.0,689.0,12.0,671.0,0.0
1,5400,MAGNIFICENT_MACARONS,665.0,14.0,663.0,12.0,658.0,30.0,670,8,673.0,7.0,681.0,30.0,667.5,0.0
1,5500,MAGNIFICENT_MACARONS,665.0,12.0,663.0,18.0,658.0,28.0,673,6,681.0,28.0,687.0,18.0,669.0,0.0
1,5600,MAGNIFICENT_MACARONS,668.0,10.0,666.0,10.0,660.0,23.0,676,5,684.0,23.0,689.0,10.0,672.0,0.0
1,5700,MAGNIFICENT_MACARONS,667.0,16.0,665.0,19.0,659.0,30.0,675,8,683.0,30.0,688.0,19.0,671.0,0.0
1,5800,MAGNIFICENT_MACARONS,666.0,12.0,664.0,16.0,658.0,28.0,674,6,682.0,28.0,687.0,16.0,670.0,0.0
1,5900,MAGNIFICENT_MACARONS,668.0,10.0,666.0,17.0,660.0,21.0,676,5,684.0,21.0,689.0,17.0,672.0,0.0
1,6000,MAGNIFICENT_MACARONS,666.0,16.0,664.0,18.0,659.0,30.0,674,8,682.0,30.0,688.0,18.0,670.0,0.0
1,6100,MAGNIFICENT_MACARONS,667.0,18.0,665.0,19.0,660.0,24.0,675,9,683.0,24.0,689.0,19.0,671.0,0.0
1,6200,MAGNIFICENT_MACARONS,666.0,20.0,664.0,11.0,659.0,29.0,674,10,682.0,29.0,688.0,11.0,670.0,0.0
1,6300,MAGNIFICENT_MACARONS,663.0,14.0,661.0,15.0,656.0,22.0,671,7,679.0,22.0,685.0,15.0,667.0,0.0
1,6400,MAGNIFICENT_MACARONS,663.0,14.0,661.0,17.0,655.0,23.0,671,7,679.0,23.0,684.0,17.0,667.0,0.0
1,6500,MAGNIFICENT_MACARONS,661.0,18.0,659.0,12.0,653.0,22.0,669,9,677.0,22.0,682.0,12.0,665.0,0.0
1,6600,MAGNIFICENT_MACARONS,658.0,14.0,656.0,15.0,651.0,27.0,666,7,674.0,27.0,680.0,15.0,662.0,0.0
1,6700,MAGNIFICENT_MACARONS,654.0,12.0,652.0,11.0,647.0,30.0,662,6,670.0,30.0,676.0,11.0,658.0,0.0
1,6800,MAGNIFICENT_MACARONS,656.0,10.0,654.0,13.0,649.0,29.0,664,5,672.0,29.0,678.0,13.0,660.0,0.0
1,6900,MAGNIFICENT_MACARONS,657.0,10.0,655.0,19.0,650.0,27.0,665,5,673.0,27.0,679.0,19.0,661.0,0.0
1,7000,MAGNIFICENT_MACARONS,655.0,10.0,653.0,11.0,647.0,30.0,663,5,671.0,30.0,676.0,11.0,659.0,0.0
1,7100,MAGNIFICENT_MACARONS,654.0,12.0,652.0,14.0,646.0,30.0,662,6,670.0,30.0,675.0,14.0,658.0,0.0
1,7200,MAGNIFICENT_MACARONS,651.0,10.0,649.0,12.0,644.0,22.0,659,5,667.0,22.0,673.0,12.0,655.0,0.0
1,7300,MAGNIFICENT_MACARONS,650.0,12.0,648.0,20.0,643.0,25.0,658,6,666.0,25.0,672.0,20.0,654.0,0.0
1,7400,MAGNIFICENT_MACARONS,648.0,16.0,646.0,15.0,640.0,22.0,656,8,664.0,22.0,669.0,15.0,652.0,0.0
1,7500,MAGNIFICENT_MACARONS,650.0,14.0,648.0,19.0,642.0,29.0,658,7,666.0,29.0,671.0,19.0,654.0,0.0
1,7600,MAGNIFICENT_MACARONS,648.0,14.0,646.0,13.0,641.0,27.0,656,7,664.0,27.0,670.0,13.0,652.0,0.0
1,7700,MAGNIFICENT_MACARONS,648.0,18.0,646.0,13.0,641.0,25.0,656,9,664.0,25.0,670.0,13.0,652.0,0.0
1,7800,MAGNIFICENT_MACARONS,649.0,12.0,647.0,11.0,641.0,23.0,657,6,665.0,23.0,670.0,11.0,653.0,0.0
1,7900,MAGNIFICENT_MACARONS,646.0,18.0,644.0,11.0,638.0,22.0,654,9,662.0,22.0,667.0,11.0,650.0,0.0
1,8000,MAGNIFICENT_MACARONS,642.0,20.0,640.0,12.0,635.0,28.0,650,10,658.0,28.0,664.0,12.0,646.0,0.0
1,8100,MAGNIFICENT_MACARONS,645.0,16.0,643.0,17.0,637.0,25.0,653,8,661.0,25.0,666.0,17.0,649.0,0.0
1,8200,MAGNIFICENT_MACARONS,640.0,20.0,638.0,15.0,633.0,25.0,645,7,648.0,10.0,656.0,25.0,642.5,0.0
1,8300,MAGNIFICENT_MACARONS,645.0,12.0,643.0,19.0,637.0,28.0,653,6,661.0,28.0,666.0,19.0,649.0,0.0
